SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED30025,4311,6863,1522,148,12844,2005,323,15175,96,37,75,7,218,260,8,489,523,324,334,28,1211,747,135,2101,618,368,411,35,1433,1010,145,2591,134,77,83,13,303,389,41,734,108,36,63,11,216,333,52,600,59,10,24,6,95,82,16,197,0,0,0,0,0,0,0,0,5,0,3,0,13,7,4,20,305,119,171,29,625,814,112,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,0,10,5241,7356,2108,206,14909,3832,588,19332
SED30026,4159,6694,1706,149,12707,2278,387,15369,97,7,19,0,127,268,9,403,251,163,160,21,596,359,80,1040,354,174,185,25,725,625,92,1443,160,81,119,15,385,420,45,851,157,33,39,16,235,352,65,651,84,8,21,6,124,84,21,231,0,0,0,0,0,0,0,0,8,4,0,0,11,4,0,18,409,131,178,35,758,867,129,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,10,3,17,4920,7002,2069,212,14199,3776,604,18579
SED30027,3556,5176,1623,129,10486,1752,451,12689,123,67,89,7,295,301,18,613,621,608,613,43,1888,671,157,2712,744,676,706,54,2187,970,173,3325,245,101,122,8,472,499,55,1024,75,17,35,0,139,206,13,354,43,15,12,3,72,71,3,144,0,0,0,0,0,0,0,0,12,3,6,0,20,12,3,32,371,134,178,5,696,787,70,1554,25,0,18,3,49,218,9,279,19,0,4,5,28,98,4,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,21,6,81,321,11,409,3,0,0,0,3,9,0,13,4722,5994,2534,196,13450,3835,710,17992
SED30028,4531,5363,1939,130,11965,3095,439,15504,76,76,73,4,234,291,22,546,115,74,101,13,292,353,43,687,189,147,174,15,524,645,60,1228,152,77,119,12,362,671,46,1077,25,3,12,0,40,122,14,178,40,17,15,0,74,124,10,205,15,5,0,0,22,61,7,89,0,0,0,0,4,6,0,0,233,105,151,16,503,970,72,1548,32,10,11,0,54,79,0,126,9,4,8,0,15,17,0,37,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,49,12,12,0,68,99,0,175,14,6,9,0,24,12,3,42,5009,5634,2285,163,13085,4827,585,18495
SED30029,5936,5323,1608,119,12976,2811,404,16193,54,32,25,7,112,98,9,224,9,4,7,0,19,25,0,43,65,33,26,7,133,122,9,264,8,0,4,0,9,14,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,13,8,5,48,29,3,82,38,12,10,5,60,47,3,108,0,0,0,0,4,10,0,12,24,19,11,0,52,35,9,100,0,0,5,0,4,7,0,8,6,9,3,0,19,3,0,24,30,28,15,0,81,54,12,147,25,15,0,0,43,19,0,65,6095,5410,1665,122,13299,3056,423,16777
SED30030,2978,5209,1112,187,9488,2008,614,12105,21,8,6,0,38,66,6,109,485,286,181,51,997,585,201,1783,504,292,181,52,1031,655,207,1893,446,181,145,57,831,1291,184,2310,872,324,213,105,1511,1614,347,3465,318,71,46,12,447,468,85,998,239,41,38,9,325,274,86,691,7,0,4,0,8,4,0,18,1887,613,445,175,3127,3655,698,7483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,4,0,19,6,0,0,0,8,4,6,22,14,6,4,0,21,21,7,40,5392,6128,1748,410,13673,6341,1527,21542
SED30031,3345,3964,1209,117,8634,2855,294,11782,80,48,47,4,180,233,20,436,57,32,12,4,103,112,24,236,135,81,60,14,288,337,46,671,93,48,55,7,201,383,41,622,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,94,45,55,7,204,385,41,629,58,7,5,0,72,80,6,151,3,4,5,0,12,22,0,37,5,4,0,0,8,17,0,26,6,3,0,0,12,7,0,19,73,17,12,4,104,128,11,239,70,34,8,5,120,78,6,202,3722,4136,1351,142,9350,3779,388,13522
SED30032,6721,4682,2293,157,13852,4633,646,19134,98,32,85,8,214,387,22,628,51,20,40,0,108,182,11,302,146,50,121,13,327,564,33,925,35,14,36,4,91,248,4,350,3,0,0,0,3,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,6,0,8,39,11,39,4,100,262,10,368,39,3,3,0,51,92,0,140,19,6,0,0,23,55,4,83,46,17,4,0,68,46,0,113,3,3,4,0,11,11,0,22,112,28,11,0,149,197,5,361,32,3,16,4,54,66,0,120,7052,4774,2481,176,14479,5732,696,20906
SED30033,6733,3964,2326,174,13196,4129,615,17942,407,63,154,16,639,950,69,1664,269,82,156,12,523,646,58,1224,675,148,311,27,1159,1600,125,2884,54,11,26,0,98,127,8,233,36,4,13,3,51,82,8,143,138,16,21,0,168,118,7,293,0,0,0,0,3,0,0,3,3,3,0,0,6,6,0,9,230,35,57,7,329,336,28,684,93,13,4,0,106,101,3,220,35,5,7,0,50,110,3,162,6,5,0,0,10,0,0,10,7,0,9,0,17,9,0,29,149,26,20,0,187,224,14,425,43,18,12,0,74,70,4,151,7826,4189,2725,213,14952,6349,791,22093
SED30034,6449,4594,2081,195,13313,4873,590,18778,120,69,85,12,279,458,29,769,34,42,21,0,99,115,14,224,155,112,101,13,380,569,38,992,106,57,69,13,251,429,34,713,3,0,6,0,13,9,0,19,10,3,0,0,9,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,122,66,80,12,280,444,34,755,72,10,6,0,91,111,18,221,16,0,0,0,17,33,0,54,6,0,5,0,11,12,3,25,15,9,9,0,35,31,4,68,112,23,16,3,158,190,21,366,37,23,12,0,67,60,10,142,6870,4816,2291,226,14203,6140,690,21029
SED30035,5538,5871,1904,136,13451,3217,529,17196,80,33,48,8,171,229,18,416,16,11,14,0,45,62,4,112,98,43,60,8,209,293,21,529,28,16,15,0,64,139,0,201,6,3,6,0,11,10,0,25,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0,0,0,4,4,0,6,40,19,16,0,75,149,3,233,36,9,0,0,44,58,3,101,28,3,5,0,35,58,0,93,5,0,0,0,8,13,0,22,4,3,0,0,7,9,0,14,75,15,10,0,97,129,3,233,24,13,3,0,42,20,0,62,5770,5964,2001,143,13877,3809,556,18246
SED30036,3337,6368,2830,270,12806,2934,503,16248,103,31,41,8,183,339,11,536,766,748,604,84,2196,891,245,3331,871,773,646,90,2382,1234,258,3866,17,0,17,0,44,133,3,183,14,12,21,0,41,72,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,15,3,40,18,0,56,46,22,44,7,130,228,10,366,5,5,0,0,11,67,0,82,0,0,4,0,8,21,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,18,87,3,107,12,8,8,0,29,15,4,46,4265,7178,3533,371,15357,4500,779,20636
SED30037,4158,5225,2548,223,12157,3573,563,16295,154,65,143,19,379,712,39,1129,72,60,144,9,290,330,35,648,222,128,291,27,665,1037,71,1776,55,19,50,10,134,471,22,623,6,0,11,0,17,52,0,70,0,0,0,0,3,8,0,12,12,0,4,0,14,34,0,45,0,0,3,0,3,12,0,16,70,26,64,10,165,573,23,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,10,4,3,16,11,3,0,0,16,4,5,19,0,0,3,0,8,22,0,25,4468,5382,2905,255,13010,5207,662,18881
SED30038,4669,5637,2678,176,13156,3407,460,17029,165,69,167,15,421,696,45,1157,60,41,71,4,170,173,17,369,224,111,235,21,592,872,66,1521,9,8,25,0,44,73,5,126,0,0,0,0,7,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,7,3,5,15,14,13,30,5,57,95,13,161,6,0,4,0,10,28,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,5,0,13,6,4,4,0,19,34,3,53,3,3,4,0,17,29,4,50,4919,5771,2950,204,13841,4435,541,18813
SED30039,4744,10138,2549,177,17605,2255,431,20290,32,53,50,0,135,105,11,246,136,172,166,14,486,163,40,684,163,227,218,14,621,262,43,927,0,4,0,0,6,7,3,14,0,4,0,0,5,16,0,19,23,3,0,0,28,50,0,77,0,0,0,0,0,0,0,0,10,12,4,0,23,16,0,29,32,16,10,0,63,82,5,150,4,0,0,0,7,39,8,52,6,0,5,0,9,16,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,12,54,8,72,0,0,0,0,7,12,0,19,4948,10391,2777,194,18312,2666,483,21461
SED30040,4510,5336,1667,123,11641,2386,533,14555,641,103,209,14,964,1178,66,2207,245,118,143,3,509,287,81,875,884,219,354,21,1473,1465,143,3081,61,38,44,0,137,79,10,236,133,32,28,3,198,111,16,331,427,79,125,14,642,489,83,1216,37,3,0,0,41,43,0,86,5,0,0,0,5,13,4,19,661,147,198,14,1028,739,114,1875,8,0,0,0,10,23,0,33,7,6,0,0,16,29,0,43,0,0,0,0,0,0,0,0,7,0,0,0,7,3,0,9,19,6,0,0,28,50,0,84,0,3,0,0,4,14,3,19,6073,5709,2223,158,14165,4652,792,19614
SED30041,5662,5537,1936,149,13289,3171,424,16884,149,75,83,13,320,537,26,880,55,16,17,0,81,94,9,192,203,86,98,16,406,634,30,1073,145,53,96,10,306,458,43,806,26,12,8,0,43,37,4,87,46,10,3,0,55,42,0,104,0,0,0,0,3,11,0,8,0,0,0,0,9,3,0,5,221,77,111,10,421,551,45,1011,31,7,5,0,43,57,3,104,12,4,0,0,16,24,5,49,5,0,0,0,8,3,0,15,4,6,0,0,8,0,0,10,60,9,4,3,70,96,12,176,23,6,3,0,35,18,0,57,6163,5723,2152,178,14217,4477,515,19204
SED30042,4636,7190,2274,139,14239,2369,384,17001,187,93,186,13,477,542,54,1070,154,124,261,20,553,290,50,888,337,215,437,29,1026,834,101,1962,25,15,33,5,83,144,20,246,6,0,0,0,7,5,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,28,19,0,50,48,25,41,5,119,171,30,323,0,0,0,0,0,5,0,9,6,0,0,0,6,18,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,10,0,0,0,14,24,0,39,3,3,7,0,10,3,0,25,5043,7430,2761,174,15413,3408,520,19342
SED30043,5292,5484,2193,182,13150,3362,697,17205,108,54,65,16,239,249,33,524,20,33,19,3,76,32,10,117,131,83,86,18,317,276,47,639,24,34,12,0,68,59,10,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,13,27,36,12,0,69,72,10,148,19,0,0,0,18,19,0,36,0,0,5,0,9,7,0,13,0,3,0,0,6,6,0,13,18,6,5,4,28,4,5,44,33,20,8,4,68,33,4,104,13,4,0,0,14,58,0,79,5493,5626,2301,199,13615,3804,763,18184
SED30044,5134,7625,2848,183,15792,2879,572,19238,256,144,145,13,562,394,36,995,66,72,62,9,204,77,16,293,322,213,206,21,769,474,50,1293,9,0,8,0,14,3,0,22,5,0,0,0,5,12,0,13,0,0,0,0,7,3,0,7,0,0,0,0,0,0,0,0,25,10,4,0,43,30,0,70,33,16,10,0,71,50,0,121,0,0,0,0,0,7,0,7,14,0,5,0,15,117,0,133,0,0,4,0,5,0,0,12,0,0,0,0,0,0,0,0,11,6,7,0,21,124,0,143,15,16,0,0,30,18,0,53,5522,7876,3078,205,16680,3546,622,20849
SED30045,4336,6188,1860,202,12594,2719,454,15762,190,71,98,7,362,586,18,960,473,382,478,26,1360,679,80,2120,659,450,579,36,1720,1259,105,3085,87,26,57,3,183,592,13,789,101,23,40,6,166,217,19,403,103,18,19,0,144,135,13,286,5,0,4,0,7,4,0,15,0,3,0,0,9,13,0,19,301,71,123,9,503,966,47,1515,0,0,0,0,0,0,0,0,32,4,4,0,45,69,0,115,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,33,5,4,0,45,73,0,121,4,0,0,0,8,14,0,20,5334,6721,2565,248,14874,5033,601,20504
SED30046,4754,6002,2688,225,13671,3085,589,17342,200,79,148,7,437,525,33,988,292,256,377,27,948,805,93,1840,492,333,518,36,1381,1326,127,2833,89,50,115,9,262,456,30,748,28,10,15,0,50,115,4,170,29,13,5,7,54,40,3,93,0,0,0,0,0,0,0,0,11,4,0,0,17,18,3,39,161,76,141,13,390,632,43,1061,12,0,0,0,12,22,0,36,12,0,3,0,17,50,0,63,0,0,0,0,0,6,0,5,0,0,0,0,6,3,0,4,20,9,6,0,32,77,0,111,8,3,0,0,8,19,0,25,5433,6422,3358,272,15482,5132,762,21375
SED30047,4724,5058,2103,210,12091,3499,551,16147,396,164,197,27,784,1258,74,2114,174,103,146,6,437,560,70,1070,572,267,347,36,1223,1818,139,3182,170,79,130,20,396,609,46,1050,8,0,6,0,13,24,6,36,49,13,9,0,68,43,3,120,73,14,12,0,102,70,12,185,7,4,0,0,6,4,0,11,306,116,153,19,593,748,61,1405,14,5,0,0,20,36,0,62,46,9,4,0,67,107,0,176,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,10,67,14,8,4,91,152,0,245,13,8,3,0,21,70,9,100,5686,5455,2604,268,14022,6286,769,21073
SED30048,2486,4336,774,149,7745,1349,811,9903,14,14,5,4,32,31,7,71,328,301,149,27,800,369,162,1336,337,316,152,33,838,401,168,1404,441,295,138,61,937,897,320,2157,1276,605,333,152,2362,1843,835,5037,768,437,234,99,1546,1004,509,3056,665,227,138,48,1083,798,252,2138,0,0,0,0,5,8,0,16,3159,1567,845,365,5935,4553,1920,12407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,3,0,7,0,0,0,0,3,3,3,10,20,15,3,0,44,58,12,119,5997,6236,1781,546,14558,6366,2918,23841
SED30049,3627,6944,1648,195,12414,2115,530,15056,69,22,22,3,126,176,5,311,363,564,300,40,1263,518,118,1898,433,586,322,45,1388,698,124,2207,103,98,81,4,283,329,41,649,162,50,50,20,287,296,111,694,296,78,71,36,485,361,80,927,70,17,9,6,95,55,41,194,6,3,7,0,11,9,0,18,639,252,208,66,1165,1047,271,2486,3,0,0,0,3,0,0,3,11,3,5,0,16,16,0,28,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,16,3,6,0,20,16,0,35,3,6,0,0,11,11,0,24,4719,7792,2179,305,14995,3874,934,19808
SED30050,3469,3051,925,77,7524,1741,502,9771,334,81,150,10,573,567,49,1193,823,396,419,30,1668,1012,224,2910,1155,477,569,45,2247,1581,277,4101,464,194,234,26,911,1027,178,2122,418,121,145,16,697,616,129,1446,802,137,125,19,1086,824,119,2030,530,65,56,14,661,412,53,1128,9,8,8,0,18,12,0,26,2215,529,563,71,3380,2888,478,6750,40,3,0,0,48,44,0,96,21,4,0,0,27,29,0,57,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,7,62,10,0,0,74,79,0,159,41,11,0,0,54,42,3,103,6945,4078,2067,189,13282,6333,1260,20879
SED30051,7058,4428,2259,179,13922,4239,642,18805,83,12,45,3,151,449,15,611,4,8,19,0,33,78,11,124,89,23,68,3,178,532,23,735,67,13,42,0,132,316,15,458,0,0,0,0,0,5,0,8,0,0,0,0,6,3,0,4,0,0,0,0,0,0,0,0,5,6,0,0,12,3,0,15,76,19,43,0,142,326,17,486,57,3,8,4,68,135,4,209,16,0,3,0,19,39,0,63,8,8,0,0,12,8,0,23,5,0,0,0,5,0,0,13,88,8,11,4,114,187,4,307,26,9,0,0,42,22,4,69,7337,4489,2383,185,14402,5305,688,20401
SED30052,819,979,280,50,2127,580,435,3151,11,3,0,0,21,15,3,37,241,181,73,29,528,307,180,1006,258,184,74,29,544,316,178,1038,407,114,77,33,630,1083,231,1939,1097,326,172,43,1648,1722,405,3778,2549,785,361,112,3811,3597,1009,8417,3982,925,488,209,5597,5997,1595,13192,128,22,20,8,181,217,90,489,8164,2171,1123,409,11868,12614,3329,27809,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,10,6,18,8,4,0,0,11,11,6,26,40,10,0,0,53,122,16,195,9288,3348,1486,491,14611,13641,3964,32221
SED30053,2762,4086,1017,83,7943,1352,428,9724,370,222,161,20,773,575,104,1451,997,795,623,56,2473,1065,365,3903,1366,1013,787,77,3242,1636,470,5356,276,111,118,15,521,434,155,1112,647,206,211,29,1088,871,293,2251,334,115,102,18,576,355,112,1042,282,72,60,8,415,443,64,923,4,0,0,0,4,6,0,8,1542,506,497,69,2610,2114,620,5341,14,3,11,0,28,69,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,14,4,12,0,36,69,0,104,7,4,7,0,18,22,0,43,5693,5611,2311,229,13848,5196,1520,20567
SED30054,3147,5556,1055,177,9929,1969,609,12511,17,10,4,0,26,68,7,100,584,345,219,53,1201,748,269,2219,603,350,218,52,1226,823,274,2323,357,153,147,35,694,1046,163,1900,367,129,114,30,642,727,159,1524,206,42,32,8,286,285,41,611,111,13,5,4,132,48,4,188,3,3,0,0,6,9,0,19,1043,339,298,75,1762,2111,365,4240,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,3,0,0,6,9,0,17,3,5,4,0,10,14,0,20,4792,6248,1578,301,12931,4918,1255,19107
SED30055,5214,5521,1454,143,12325,2966,357,15651,136,116,71,8,338,237,28,602,12,9,4,0,20,23,10,52,153,123,80,8,363,254,36,651,8,3,8,0,22,42,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,0,23,44,0,68,50,4,8,0,63,79,7,143,5,3,0,0,5,35,3,40,4,0,0,0,8,9,0,21,3,4,0,0,9,3,0,10,60,12,8,0,83,118,7,209,34,11,4,4,51,34,4,91,5467,5676,1551,157,12849,3421,400,16668
SED30056,4516,7658,1431,114,13718,1962,276,15959,78,14,14,0,107,167,3,278,103,87,71,3,264,123,7,396,178,98,87,9,374,288,14,670,26,28,12,0,67,50,5,123,6,0,0,0,17,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,17,11,0,28,44,35,18,0,99,74,4,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,12,3,0,0,0,9,3,0,14,4,4,0,0,9,3,0,12,4745,7802,1539,121,14207,2324,293,16830
SED30057,4476,5454,2946,210,13074,2944,652,16669,423,156,393,33,1010,1258,111,2379,169,120,275,27,595,447,85,1128,590,281,673,62,1602,1709,198,3508,18,15,20,3,55,72,11,140,3,0,7,0,9,74,4,87,0,0,3,0,5,29,0,34,0,0,0,0,0,0,0,0,15,12,10,0,35,38,4,77,38,21,43,0,108,224,19,342,0,0,0,0,0,0,0,0,6,3,5,0,15,35,7,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,0,19,35,4,58,4,5,8,0,15,14,0,25,5118,5760,3671,269,14819,4923,865,20604
SED30058,4349,6683,1611,172,12821,2375,413,15609,58,38,33,5,127,141,9,279,383,296,211,16,904,407,59,1371,436,326,245,19,1032,553,65,1647,69,30,46,8,157,246,21,423,62,15,11,5,90,131,20,242,149,33,18,3,204,171,19,402,0,0,0,0,0,0,0,0,5,3,3,0,10,7,0,15,282,88,81,20,465,557,57,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,8,0,5,0,10,13,0,25,5084,7098,1939,206,14330,3500,537,18364
SED30059,3598,6238,1469,96,11404,1609,341,13357,233,195,169,7,603,283,38,922,1124,1009,871,58,3054,1019,238,4310,1353,1203,1035,58,3659,1300,275,5239,8,0,3,0,14,73,0,86,107,28,46,4,179,121,20,325,116,23,28,3,174,104,21,295,156,41,40,7,241,154,19,407,19,18,3,0,41,31,0,68,403,115,115,13,645,483,61,1185,5,0,0,0,7,32,0,41,0,0,0,0,3,17,6,19,0,0,0,0,4,0,0,6,0,0,5,0,4,0,0,9,13,6,5,0,19,53,3,74,10,8,3,0,19,8,0,26,5376,7564,2632,168,15745,3453,685,19886
SED30060,4541,5690,2523,211,12965,2813,520,16299,76,58,118,15,268,268,22,553,46,28,68,4,142,169,14,324,127,82,184,14,409,439,33,878,98,69,168,12,352,408,31,794,44,23,27,0,90,52,11,151,34,34,27,7,96,44,12,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,175,126,223,19,547,510,50,1101,12,4,0,0,16,22,4,46,7,0,7,0,18,33,0,53,10,14,14,0,40,20,3,59,0,0,0,0,3,0,6,7,40,20,22,0,80,77,7,162,7,3,0,0,13,21,0,33,4886,5923,2955,251,14014,3850,617,18477
SED30061,4131,4632,1926,226,10916,2946,789,14647,189,59,153,20,416,813,57,1286,90,39,75,23,232,271,46,547,280,100,231,37,645,1082,100,1833,69,18,30,10,121,280,31,433,114,21,31,14,182,268,83,529,16,3,5,0,28,11,12,52,0,0,0,0,0,7,0,7,6,0,0,0,4,0,0,11,208,46,59,18,334,572,129,1032,20,0,3,0,26,28,3,61,3,0,0,0,3,8,0,11,0,0,0,0,0,4,0,4,4,0,0,0,4,0,0,4,28,0,3,0,34,43,3,80,10,3,0,0,11,45,3,57,4649,4784,2220,286,11936,4691,1021,17644
SED30062,4473,7564,2357,171,14558,2502,480,17543,617,166,270,23,1072,1246,63,2383,780,700,1002,59,2544,1179,229,3950,1393,867,1272,85,3615,2422,291,6337,41,27,47,0,114,93,13,224,18,10,12,0,41,17,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,9,0,11,61,32,61,6,164,116,22,302,13,0,0,0,17,74,0,94,27,0,8,4,45,121,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,11,7,63,193,4,256,8,5,0,0,13,12,0,26,5982,8467,3699,264,18412,5247,798,24461
SED30063,6468,4258,2151,218,13105,4975,639,18726,44,30,37,0,113,218,9,343,6,4,0,0,10,11,0,18,47,32,39,0,115,225,16,358,77,29,46,9,155,394,22,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,3,79,29,46,9,158,395,22,574,45,6,3,3,54,89,0,147,28,0,0,0,30,36,0,59,5,9,3,0,10,10,0,18,9,5,4,0,11,11,0,22,80,19,15,4,113,140,4,254,20,16,5,0,41,29,4,75,6695,4350,2250,235,13537,5767,688,19989
