LGA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA36370,26363,67616,1446,2445,545,874,1987,3316,1184,1900,20,37,22,31,101,177,27,50,1348,2195,75,138,38,59,7,14,17,33,135,237,72,149,29911,73524,3579,..,33494,73524
LGA36510,14212,37303,699,1106,238,433,938,1546,28,54,9,13,0,0,0,3,11,15,51,94,91,155,40,71,28,56,26,62,187,339,45,98,15430,39375,1916,..,17342,39375
LGA36580,8778,22688,145,284,6,21,154,303,15,38,0,0,0,0,0,0,3,7,19,41,41,62,53,82,7,8,4,9,99,162,19,35,9066,23234,1225,..,10294,23234
LGA36630,11722,27863,254,380,14,17,267,396,513,769,0,0,0,0,0,3,3,4,517,771,102,160,6,12,17,42,14,37,144,252,48,98,12685,29379,2010,..,14700,29379
LGA36660,12807,30857,836,1194,56,117,889,1312,158,222,0,0,0,0,0,0,0,7,158,231,46,82,26,53,12,30,22,55,110,216,67,133,14031,32746,2199,..,16234,32746
LGA36720,93500,255228,8855,14956,7784,15850,16635,30808,5539,9574,2965,5262,5546,10195,1954,3463,361,705,16371,29192,583,941,376,638,39,74,54,120,1055,1770,362,720,127927,317723,13126,..,141059,317723
LGA36820,9073,21856,297,446,44,66,339,511,301,434,0,0,0,0,0,0,0,0,301,439,117,227,49,69,15,22,15,32,194,347,82,166,9986,23316,1503,..,11495,23316
LGA36910,53465,139944,6684,11104,1733,3181,8420,14290,2226,3801,63,83,44,62,31,53,21,31,2388,4030,111,168,66,108,37,87,36,78,253,443,131,282,64650,158987,5848,..,70496,158987
LGA36950,565,1987,149,428,104,272,250,703,71,203,12,22,0,0,0,0,0,0,83,230,7,8,5,10,8,14,11,19,29,46,18,37,950,3002,188,..,1131,3002
LGA36960,955,3564,25,55,9,13,32,72,5,9,0,0,0,0,0,0,0,0,5,9,0,4,0,0,0,7,9,10,5,23,16,36,1013,3695,227,..,1245,3695
LGA37010,56674,151418,4565,7222,3085,5257,7654,12477,1804,2805,1433,2303,1058,1884,592,1027,21,42,4905,8062,237,402,164,285,34,38,29,66,467,796,193,326,69892,173077,8004,..,77897,173077
LGA37300,779,2512,170,379,211,453,383,831,23,55,0,0,0,0,0,0,0,0,23,55,18,34,0,0,15,31,0,0,36,64,11,23,1233,3485,269,..,1505,3485
LGA37310,10732,27639,797,1289,92,168,887,1458,97,170,0,0,3,3,0,0,4,12,101,182,67,107,15,23,23,36,23,45,125,212,55,105,11901,29599,2595,..,14498,29599
LGA37340,9806,25257,581,966,547,1061,1122,2028,839,1486,262,484,60,113,0,0,4,9,1167,2087,181,349,105,226,22,48,21,53,336,678,183,352,12614,30403,2438,..,15053,30403
LGA37400,374,795,3,6,0,0,3,6,9,14,0,0,0,0,0,0,0,0,9,14,12,32,0,0,0,0,0,0,20,31,26,59,438,900,124,..,565,900
LGA37550,213,786,10,24,0,0,10,24,44,118,0,0,0,0,0,0,0,0,44,118,0,0,0,0,0,0,0,5,0,5,0,0,273,931,16,..,290,931
LGA37570,63,240,12,17,0,4,10,24,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,79,270,9,..,86,270
LGA37600,345,1951,27,82,0,0,27,82,52,204,0,0,4,14,0,0,0,0,56,219,0,0,0,0,52,150,0,0,55,149,0,0,486,2403,14,..,502,2403
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,..,3,0
LGA40070,968,2181,1078,1946,2557,5038,3631,6978,565,897,959,1538,2026,3395,2771,4692,5,3,6322,10527,0,0,0,0,0,0,66,120,66,125,120,207,11116,20025,2566,..,13678,20025
LGA40120,13939,37111,304,462,60,145,364,609,112,164,20,20,44,63,0,0,10,23,178,275,14,23,3,0,0,0,5,11,24,40,30,51,14537,38086,1202,..,15736,38086
LGA40150,3326,8979,12,23,0,0,12,23,8,12,0,0,0,0,0,0,4,9,11,19,24,78,0,0,0,5,0,0,27,87,10,27,3391,9130,405,..,3792,9130
LGA40220,10918,25046,464,668,66,134,535,799,127,166,0,3,0,0,0,0,0,0,125,172,52,72,42,59,0,0,13,29,112,158,39,73,11724,26250,4348,..,16073,26250
LGA40250,469,2162,42,67,0,0,42,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,4,12,0,6,514,2246,161,..,674,2246
LGA40310,9077,22438,482,720,16,30,491,749,84,104,0,0,0,0,0,4,0,0,84,106,35,55,21,24,0,0,7,14,60,96,20,53,9739,23436,874,..,10612,23436
LGA40430,1045,2191,44,74,0,0,44,74,9,15,0,0,0,0,0,0,0,0,9,15,6,13,5,3,0,7,0,0,11,19,4,10,1118,2308,704,..,1821,2308
LGA40520,3682,8739,477,752,14,20,490,773,80,116,0,0,0,0,0,0,0,6,83,124,14,27,21,35,0,4,0,3,41,60,3,9,4301,9704,623,..,4918,9704
LGA40700,11840,32861,2701,5178,1196,2613,3900,7790,1426,2476,220,286,121,190,134,216,9,18,1911,3193,0,0,0,0,0,0,15,36,15,36,37,76,17704,43961,1554,..,19254,43961
LGA40910,15664,41120,2786,5873,854,2078,3638,7953,1975,3467,3,7,0,0,0,0,9,23,1987,3499,0,0,0,0,0,0,3,13,3,13,37,73,21332,52658,1402,..,22732,52658
LGA41010,1226,3034,39,53,3,3,42,54,23,26,0,0,0,0,0,0,0,0,24,26,20,33,9,15,0,0,0,3,31,45,6,9,1328,3168,371,..,1696,3168
LGA41060,32241,83167,7143,13599,4468,9882,11614,23484,3386,5475,526,842,965,1613,218,379,75,148,5166,8451,22,49,3,3,0,3,67,168,102,227,114,231,49233,115554,3908,..,53138,115554
LGA41140,3497,8041,167,248,6,8,168,252,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,3,0,3,8,19,23,46,14,26,3709,8369,644,..,4361,8369
LGA41190,649,1479,17,46,0,0,17,46,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,7,0,0,4,6,4,12,0,0,675,1537,211,..,881,1537
LGA41330,592,1098,13,19,0,0,13,19,37,68,0,0,0,0,0,0,0,0,41,73,22,37,0,0,0,0,3,10,22,44,4,14,674,1240,466,..,1137,1240
LGA41560,5779,12797,362,512,33,59,393,574,24,27,0,0,0,0,0,0,0,0,24,27,18,27,25,38,4,9,7,13,52,87,15,36,6267,13521,2458,..,8724,13521
LGA41750,366,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,7,0,0,4,14,6,29,0,3,380,869,347,..,722,869
LGA41830,618,1318,25,37,0,6,26,42,13,13,0,0,0,0,0,0,0,0,13,13,0,9,0,0,4,3,4,4,12,22,3,7,671,1395,234,..,906,1395
LGA41960,405,895,69,142,0,0,69,142,4,10,0,0,0,0,0,0,0,0,4,10,3,10,0,0,0,0,4,7,10,22,3,3,492,1072,281,..,774,1072
LGA42030,8193,20511,1606,2538,74,148,1679,2686,120,153,0,0,0,0,0,0,0,0,120,153,44,64,6,0,0,0,0,0,48,64,49,93,10089,23501,659,..,10748,23501
LGA42110,1596,3483,60,99,0,6,62,109,3,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,0,0,0,5,0,3,1673,3610,527,..,2199,3610
LGA42250,2666,6904,20,30,4,9,20,43,3,7,0,0,0,0,0,0,0,0,3,7,8,3,0,0,8,13,51,128,58,146,19,35,2771,7129,736,..,3506,7129
LGA42600,8700,22302,3468,5740,1235,2425,4703,8167,1083,1594,638,997,588,993,292,468,8,16,2607,4062,14,27,8,12,0,0,73,118,88,158,35,62,16131,34756,2032,..,18163,34756
LGA42750,1840,4008,49,76,0,0,49,76,24,37,0,0,0,0,0,0,0,0,24,37,6,3,6,11,0,0,3,16,13,36,19,29,1940,4183,1090,..,3033,4183
LGA43080,389,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,11,16,0,4,398,878,172,..,571,878
LGA43220,375,851,6,19,0,0,6,19,4,3,0,0,0,0,0,0,0,0,4,3,4,4,0,0,0,0,0,0,5,6,0,0,384,880,179,..,564,880
LGA43360,923,1955,37,50,5,7,37,56,7,13,0,0,0,0,0,0,0,3,9,16,0,8,0,4,0,0,3,7,9,14,0,4,982,2046,673,..,1652,2046
LGA43650,5299,14519,74,128,0,0,74,128,6,6,0,0,0,5,0,0,0,0,6,10,10,14,0,0,0,0,4,17,16,34,5,22,5405,14719,409,..,5819,14719
LGA43710,2019,5050,17,31,4,8,26,36,0,4,0,0,0,0,0,0,0,6,0,3,15,42,6,17,4,14,0,0,23,71,4,13,2071,5179,729,..,2801,5179
LGA43790,4157,9855,377,575,3,8,383,583,44,48,0,0,0,0,0,0,0,0,42,48,19,18,18,34,0,0,0,15,43,69,21,36,4649,10594,725,..,5372,10594
LGA44000,17,48,12,16,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,7,8,0,10,28,88,3,..,36,88
LGA44060,26969,68975,6537,12337,2026,4640,8564,16972,2508,4049,35,44,42,75,0,0,22,47,2606,4214,0,0,0,0,0,0,3,14,9,12,81,155,38224,90333,2462,..,40689,90333
LGA44210,3567,7557,61,81,5,10,63,93,17,21,0,0,0,0,0,0,0,0,18,22,28,40,64,115,3,13,11,26,108,194,31,66,3793,7938,3094,..,6881,7938
LGA44340,19832,54310,2553,4908,251,612,2806,5521,2240,3639,117,198,0,0,0,0,5,8,2365,3847,16,26,3,8,3,3,32,70,51,108,52,99,25099,63886,1525,..,26624,63886
LGA44550,13649,35427,597,904,90,179,681,1083,74,113,0,0,0,0,0,0,0,4,70,117,57,96,7,4,0,0,9,20,77,121,34,58,14514,36802,982,..,15498,36802
LGA44620,8497,20752,1441,2516,40,60,1484,2579,919,1309,0,0,18,25,0,0,0,0,934,1333,4,8,4,4,0,0,7,15,9,20,27,46,10947,24727,1182,..,12125,24727
LGA44830,1128,2446,3,4,0,0,3,4,10,10,0,0,0,0,0,0,0,0,8,5,16,46,5,7,0,3,0,0,26,59,5,8,1167,2531,426,..,1593,2531
LGA45040,7468,17951,785,1345,16,26,807,1373,38,62,0,0,0,0,0,3,0,5,36,68,26,33,44,68,0,4,4,9,74,118,39,79,8426,19587,1215,..,9643,19587
LGA45090,3108,7551,138,224,0,0,138,224,9,3,0,0,0,0,0,0,0,0,9,3,7,11,0,0,3,0,0,4,10,18,15,28,3281,7828,524,..,3800,7828
LGA45120,1824,4028,51,74,0,0,51,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,16,12,27,6,7,1884,4126,404,..,2289,4126
LGA45290,8222,21434,2771,4861,1907,3817,4676,8675,2458,4074,222,346,206,354,85,131,3,7,2971,4911,4,8,14,18,0,0,31,64,49,93,46,83,15965,35199,1564,..,17528,35199
LGA45340,60671,153479,4801,7300,965,1930,5761,9227,1112,1708,48,59,46,71,0,0,35,80,1237,1921,158,220,189,265,4,4,12,15,365,511,98,188,68135,165330,4926,..,73056,165330
LGA45400,331,729,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,340,746,139,..,477,746
LGA45540,689,1299,27,39,0,0,27,39,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,8,3,7,5,723,1348,199,..,922,1348
LGA45680,29640,82005,4604,9378,607,1214,5215,10594,228,339,46,68,0,0,0,0,0,5,278,409,26,31,58,63,0,0,0,0,86,101,64,138,35285,93255,2423,..,37704,93255
LGA45890,36155,95255,7809,15870,2875,6402,10683,22275,3219,5714,214,339,407,601,0,9,47,112,3889,6766,42,67,26,29,0,0,78,174,144,278,144,298,51024,124862,3740,..,54769,124862
LGA46090,4128,9868,554,1219,31,73,588,1291,357,521,0,0,0,0,0,0,0,0,361,523,32,52,4,8,0,0,5,16,42,78,27,37,5143,11803,1084,..,6227,11803
LGA46300,4701,11167,553,931,97,215,653,1148,339,440,0,13,0,0,0,0,11,26,352,475,8,21,20,47,0,0,8,14,38,80,16,28,5760,12899,753,..,6512,12899
LGA46450,6116,14219,856,1450,15,28,867,1477,111,141,0,0,0,0,0,0,0,0,108,143,18,29,0,0,3,8,11,24,34,58,24,41,7154,15936,977,..,8129,15936
LGA46510,5718,15753,1139,2114,498,1089,1644,3200,970,1893,76,133,201,333,0,0,8,10,1253,2371,0,0,0,0,0,0,14,36,14,36,15,34,8635,21389,626,..,9258,21389
LGA46670,3277,7926,416,764,8,23,419,791,72,123,0,0,0,0,0,0,0,0,76,127,21,77,16,32,0,0,0,3,41,106,19,27,3837,8980,457,..,4288,8980
LGA46860,625,1342,12,13,3,7,14,20,4,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,8,7,0,10,650,1377,923,..,1571,1377
LGA46970,1158,3176,0,0,0,0,0,0,33,41,0,0,0,0,0,0,0,0,33,41,0,0,3,10,0,0,0,23,7,30,3,9,1195,3256,340,..,1541,3256
LGA47140,43781,122564,4953,9033,1254,2847,6207,11873,1449,2387,381,698,321,552,0,0,27,58,2179,3695,129,194,18,25,0,0,12,25,157,239,108,217,52426,138588,2732,..,55155,138588
LGA47290,773,1699,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,11,12,11,14,0,0,0,0,4,5,17,22,6,3,799,1735,183,..,982,1735
LGA47490,762,1763,5,8,0,0,5,8,8,9,0,0,0,0,0,0,0,0,8,9,11,25,0,12,0,0,0,0,16,35,0,8,795,1832,418,..,1211,1832
LGA47630,2440,5938,78,117,0,0,78,117,7,5,0,0,0,0,0,0,0,0,7,5,9,14,0,0,0,3,0,0,14,19,10,12,2546,6097,380,..,2920,6097
LGA47700,34400,90091,2621,4203,546,1199,3172,5402,952,1427,0,0,0,0,0,0,11,21,966,1445,11,32,0,0,0,0,0,13,17,46,39,89,38595,97066,1686,..,40281,97066
LGA47800,2106,4650,49,84,0,0,53,86,5,4,0,0,0,0,0,0,0,0,5,6,3,9,5,9,4,0,3,17,13,39,12,12,2188,4791,668,..,2853,4791
LGA47910,1042,2325,59,89,0,3,62,88,49,56,0,0,0,0,0,0,0,0,49,56,12,25,0,7,3,0,4,7,27,45,7,13,1181,2532,362,..,1548,2532
LGA47980,9166,24881,1966,3596,759,1503,2724,5104,2991,5097,245,407,312,498,46,83,4,3,3593,6080,0,0,0,0,0,0,10,17,10,17,29,66,15526,36150,1410,..,16940,36150
LGA48050,6322,13617,555,776,93,179,652,950,83,102,21,38,16,28,0,0,0,0,118,163,6,18,23,31,0,0,9,14,34,59,29,52,7156,14849,2245,..,9396,14849
LGA48130,2464,5911,164,311,0,0,164,311,10,7,0,0,0,0,0,0,0,0,10,7,13,13,4,10,0,4,3,3,17,30,7,15,2667,6268,486,..,3151,6268
LGA48260,2089,5576,362,608,322,670,682,1275,219,337,48,62,0,0,120,185,4,6,393,593,13,14,0,4,0,0,5,0,12,20,8,16,3184,7480,331,..,3518,7480
LGA48340,4342,10034,228,358,0,4,229,360,118,143,0,0,0,0,0,0,0,4,117,149,10,17,0,0,9,26,5,7,20,52,13,31,4726,10632,1056,..,5780,10632
LGA48410,16148,41579,3993,7181,1199,2746,5188,9923,2779,5039,547,977,317,593,14,21,10,27,3662,6650,0,0,0,0,0,0,17,43,17,43,106,208,25122,58411,2108,..,27229,58411
LGA48540,5029,12071,3494,6789,7,8,3497,6800,351,451,39,52,0,0,0,0,16,34,408,537,18,30,3,8,0,0,3,7,28,45,30,68,8984,19521,1489,..,10471,19521
LGA48640,390,946,7,8,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,0,8,414,972,128,..,538,972
LGA48750,2290,5038,55,78,25,61,83,133,0,10,43,52,0,0,0,0,0,8,51,65,28,40,4,8,0,0,8,13,42,57,0,5,2466,5305,1723,..,4188,5305
LGA48830,4670,9739,100,172,23,49,130,225,20,32,0,0,0,0,0,0,0,0,25,31,86,128,22,42,0,0,19,35,122,206,10,19,4954,10214,4708,..,9665,10214
LGA49399,838,1893,12,28,0,0,14,25,4,13,0,0,0,0,0,0,13,27,14,37,21,38,26,35,12,24,7,9,63,109,70,135,1008,2202,1058,..,2062,2202
LGA49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA50080,13322,32472,989,1471,103,158,1090,1627,46,71,0,0,0,0,0,0,22,45,67,113,90,131,118,160,6,12,3,6,219,308,34,62,14733,34582,2295,..,17025,34582
LGA50210,29258,82563,2760,5077,49,87,2807,5162,136,201,54,82,0,0,0,0,38,79,219,361,81,104,130,174,0,0,13,38,231,318,31,75,32549,88478,2329,..,34874,88478
LGA50250,1370,3914,78,126,0,3,81,130,26,44,7,3,0,0,0,0,3,6,35,51,57,111,0,12,0,3,0,0,64,119,33,69,1581,4286,824,..,2401,4286
LGA50280,5441,13502,180,282,100,169,278,453,40,66,0,0,0,0,0,0,6,7,41,69,45,65,33,94,10,11,3,7,92,174,34,82,5885,14280,2240,..,8121,14280
LGA50350,4987,12435,906,1605,153,311,1061,1916,191,280,32,48,53,77,0,0,12,14,283,423,0,0,0,0,0,0,5,9,5,9,7,18,6350,14805,545,..,6895,14805
LGA50420,19872,50414,3353,6418,2047,3862,5399,10277,1372,2141,574,886,448,638,336,541,14,26,2750,4231,0,0,0,0,0,0,9,9,9,9,27,52,28055,64982,3075,..,31133,64982
LGA50490,11064,27576,2019,3934,1430,2960,3450,6893,601,984,587,944,473,754,766,1307,18,36,2444,4026,10,13,3,3,0,0,9,6,23,33,30,58,17018,38580,2329,..,19345,38580
LGA50560,647,1364,11,20,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,8,6,6,12,18,4,16,676,1418,208,..,881,1418
LGA50630,577,1411,18,29,0,0,18,29,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,5,8,0,0,599,1445,157,..,757,1445
LGA50770,667,1534,5,8,0,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,0,3,677,1552,159,..,834,1552
LGA50840,1954,4474,58,76,0,0,58,76,7,7,0,0,0,0,0,0,0,0,7,7,15,21,0,4,0,0,0,3,16,26,7,10,2039,4601,463,..,2506,4601
LGA50910,323,744,10,24,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,761,104,..,433,761
LGA50980,3992,12183,479,993,222,429,701,1418,118,261,0,0,0,0,0,0,3,10,124,268,206,442,4,7,24,59,18,45,258,551,101,184,5172,14608,843,..,6015,14608
LGA51080,367,897,3,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,377,914,157,..,533,914
LGA51120,286,689,18,23,0,0,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,9,16,48,332,765,30,..,362,765
LGA51190,10171,24158,2137,3307,424,786,2556,4092,333,512,104,160,15,27,32,53,4,12,490,762,67,93,36,54,0,0,9,23,116,166,28,46,13356,29228,1696,..,15051,29228
LGA51260,13238,33009,1166,1902,205,412,1366,2313,31,52,0,0,18,25,0,0,31,63,74,144,83,139,159,224,10,28,14,49,268,436,36,70,14988,35969,5110,..,20096,35969
LGA51310,7619,22306,572,1110,627,1310,1202,2418,391,584,377,610,568,836,188,308,10,15,1540,2353,0,0,0,0,0,0,0,3,0,7,16,29,10378,27106,865,..,11246,27106
LGA51330,26598,75731,4701,10633,736,1833,5434,12471,930,2009,54,104,189,337,108,158,43,99,1317,2703,16,27,0,0,0,0,15,56,38,86,61,111,33444,91107,2638,..,36082,91107
LGA51400,5949,16347,174,277,15,15,188,290,64,78,0,0,0,0,0,0,0,3,69,80,5,8,0,0,0,0,0,6,8,20,8,24,6221,16762,605,..,6825,16762
LGA51470,206,418,4,10,0,0,4,10,5,4,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,4,0,0,5,219,433,70,..,292,433
LGA51540,1320,3369,187,311,31,48,215,357,48,59,0,0,0,0,0,0,0,0,48,59,129,245,11,19,11,27,4,0,147,291,30,67,1771,4150,432,..,2197,4150
LGA51610,480,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,0,3,0,0,3,5,26,47,3,7,506,1309,98,..,601,1309
LGA51680,1902,5190,4,4,0,3,3,9,16,28,0,0,0,0,0,0,0,0,15,28,0,0,0,0,3,0,0,0,0,4,3,6,1926,5241,310,..,2239,5241
LGA51710,193,524,83,214,10,28,96,246,76,127,51,136,5,13,0,0,0,0,127,275,0,0,0,0,0,0,0,0,3,3,6,3,422,1052,109,..,535,1052
LGA51750,2070,5695,604,1344,398,874,999,2214,242,379,234,319,600,1000,248,392,0,0,1324,2088,0,0,0,0,0,0,0,0,0,0,3,9,4399,10011,641,..,5040,10011
LGA51820,35391,96944,4092,7536,953,1870,5041,9407,652,933,856,1310,958,1540,295,450,73,149,2832,4390,8,16,200,294,0,8,5,5,212,317,42,68,43510,111127,3219,..,46732,111127
LGA51860,122,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,122,491,23,..,146,491
LGA51890,3165,7451,108,164,0,0,108,164,104,149,0,0,0,0,0,0,0,8,104,155,15,24,0,3,3,0,0,11,17,42,16,20,3404,7830,462,..,3864,7830
LGA51960,998,2407,58,87,27,29,83,115,19,37,0,0,0,0,0,0,0,0,19,37,4,14,3,0,0,0,0,0,12,14,8,13,1126,2587,325,..,1449,2587
LGA52030,394,821,10,9,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,7,10,7,13,418,859,427,..,847,859
LGA52100,372,830,11,19,3,4,17,25,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,4,4,5,12,0,0,395,864,68,..,468,864
LGA52170,2058,5647,136,285,224,483,364,773,157,255,337,489,86,143,0,0,3,9,581,904,0,0,0,0,0,0,0,0,0,0,0,0,2998,7325,475,..,3472,7325
LGA52240,391,899,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,5,0,0,3,4,0,0,0,3,5,10,8,10,405,921,143,..,552,921
LGA52310,356,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,6,6,0,0,359,776,84,..,444,776
LGA52380,55,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,10,11,3,7,70,112,37,..,103,112
LGA52450,433,1054,9,10,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,4,10,0,0,447,1078,169,..,614,1078
LGA52520,397,1048,11,14,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,11,20,16,32,9,13,431,1107,87,..,516,1107
LGA52590,1152,2554,25,57,11,11,35,68,9,10,0,0,0,0,0,0,0,0,9,10,11,15,4,8,26,54,0,9,48,79,16,28,1253,2737,1286,..,2541,2737
LGA52660,4886,12690,302,507,3,8,303,518,15,16,0,0,0,0,0,0,0,3,15,18,34,52,51,67,5,4,0,0,93,127,6,12,5302,13367,469,..,5768,13367
LGA52730,2162,4831,163,365,3,11,169,375,0,4,0,0,0,0,0,0,0,0,3,3,7,5,3,8,0,6,0,0,15,25,16,35,2362,5266,905,..,3263,5266
LGA52800,1588,4996,127,209,8,18,134,229,0,0,0,0,0,0,0,0,0,0,4,6,54,101,0,0,4,25,16,42,78,168,43,81,1844,5476,492,..,2340,5476
LGA52870,2221,5317,38,69,3,4,44,72,9,7,0,0,0,0,0,0,0,4,3,13,7,16,6,6,10,16,4,4,23,47,12,25,2305,5467,340,..,2646,5467
LGA52940,271,591,4,12,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,5,0,0,0,0,10,17,0,4,282,619,103,..,390,619
LGA53010,224,516,8,7,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,235,534,56,..,288,534
LGA53080,248,452,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,9,5,11,258,474,246,..,504,474
LGA53150,1926,5362,225,479,327,664,548,1141,59,77,156,216,174,267,33,59,4,3,424,632,0,0,0,0,0,0,9,20,9,20,3,4,2913,7163,296,..,3214,7163
LGA53220,1491,4548,41,52,18,28,58,79,38,45,0,0,0,0,0,0,0,0,38,45,29,52,0,0,0,3,0,0,33,60,28,43,1644,4778,1098,..,2737,4778
LGA53290,4339,10595,378,596,40,67,413,663,89,111,0,0,0,0,0,0,4,3,95,112,46,74,14,18,8,12,4,8,72,112,67,177,4990,11662,1091,..,6080,11662
LGA53360,856,2338,18,40,8,21,25,53,50,75,0,0,0,0,0,0,0,0,50,75,111,248,12,30,11,21,14,48,146,342,17,32,1097,2840,247,..,1348,2840
LGA53430,7871,19575,1477,2625,1457,2747,2932,5367,372,518,547,858,1139,1842,53,83,46,88,2154,3381,3,6,132,195,0,0,25,56,160,253,31,54,13148,28634,1680,..,14825,28634
LGA53570,1912,4498,37,81,3,11,43,90,20,26,0,0,0,0,0,0,0,0,22,28,14,26,17,32,5,7,4,0,39,70,7,12,2026,4691,1827,..,3852,4691
LGA53640,425,1049,4,4,0,0,4,4,0,0,0,6,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,5,12,437,1075,179,..,612,1075
LGA53710,361,802,18,31,0,0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,383,837,90,..,475,837
