LGA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA34710,4,72,16,92,7,83,17,105,16,176,27,214,12,156,33,208,17,161,30,206,37,199,47,284,14,166,28,210,4,68,11,80,0,36,4,45,111,1114,216,1437,4,72,16,88,0,102,14,119,9,204,31,249,42,186,28,254,38,164,32,236,44,181,37,267,22,131,22,179,4,70,4,83,3,43,3,48,171,1160,195,1526,9,145,26,183,4,180,34,221,23,384,58,466,55,345,65,464,57,325,60,437,82,376,87,545,42,300,48,385,5,138,18,163,5,76,7,88,285,2267,406,2966
LGA34770,141,3335,337,3810,151,2983,384,3521,365,6255,1000,7621,627,6329,1099,8048,766,6390,1121,8274,921,6291,1000,8209,577,4579,523,5683,270,2105,306,2679,75,599,122,790,3884,38872,5886,48640,172,3095,334,3598,188,2865,375,3432,683,6524,817,8020,1083,6366,709,8153,1361,6084,668,8121,1517,5734,566,7814,807,4112,404,5322,339,2232,317,2893,53,947,186,1184,6203,37970,4382,48547,306,6432,671,7413,338,5854,760,6950,1047,12781,1819,15641,1707,12694,1806,16204,2131,12479,1794,16395,2437,12025,1564,16026,1384,8699,925,11007,614,4339,625,5576,123,1546,309,1979,10086,76842,10272,97190
LGA34800,0,14,0,14,0,26,12,37,4,51,23,87,6,40,27,71,5,32,17,51,0,53,19,74,0,22,7,30,0,15,0,22,0,0,0,0,21,253,108,373,0,26,4,35,0,24,7,33,4,50,11,66,10,37,9,54,9,21,8,35,3,38,7,48,8,20,0,35,4,4,0,12,0,5,0,5,36,228,56,318,0,37,4,42,0,51,14,72,4,105,39,150,13,72,37,125,14,52,26,83,7,93,26,124,8,43,10,60,5,20,3,26,0,5,0,5,47,482,163,689
LGA34830,0,11,0,16,0,17,10,26,0,27,4,31,0,16,7,25,0,14,7,20,0,14,5,20,0,19,0,18,0,0,0,3,0,0,0,0,10,116,37,160,0,10,5,16,0,11,0,13,3,27,7,45,6,14,6,24,4,7,6,14,3,15,4,19,0,10,4,18,0,0,0,0,0,0,0,0,19,101,26,150,0,19,7,31,0,31,10,41,11,55,12,73,5,31,11,48,6,21,10,33,5,30,7,41,0,25,6,29,0,3,0,7,0,0,0,0,29,217,62,309
LGA34860,24,296,61,381,19,323,57,399,44,627,114,783,57,605,88,747,86,619,108,813,91,660,105,856,62,501,68,635,22,255,44,309,4,58,11,73,411,3944,651,5003,12,278,45,334,20,322,47,393,73,664,94,837,95,662,95,853,141,605,92,840,142,578,92,808,71,418,64,553,28,255,57,340,7,97,53,155,587,3882,630,5102,38,572,103,712,40,646,100,785,117,1290,204,1619,150,1268,182,1601,229,1226,200,1653,236,1234,189,1660,135,924,132,1191,45,508,99,654,9,157,59,229,1001,7827,1278,10105
LGA34880,35,542,125,704,24,379,247,651,73,929,598,1602,117,880,463,1464,187,1067,341,1594,215,1189,248,1652,134,1112,132,1383,73,650,93,815,20,181,25,226,881,6936,2274,10085,32,452,71,552,35,349,62,450,117,958,177,1252,170,909,141,1217,312,1065,163,1541,330,1131,160,1618,188,974,115,1275,106,597,70,780,21,184,37,238,1318,6618,995,8930,73,991,195,1256,65,732,309,1106,190,1888,770,2853,288,1783,612,2685,501,2132,504,3139,543,2324,405,3268,325,2085,249,2655,176,1247,169,1596,44,360,61,470,2199,13549,3266,19025
LGA35010,659,13888,833,15383,681,12259,1022,13965,1804,24151,2438,28396,2976,24902,2127,30007,3754,25230,1790,30768,3677,21472,1253,26405,3029,19023,1114,23164,1536,10276,848,12656,321,2638,383,3343,18445,153839,11807,184083,843,13034,764,14641,913,11633,755,13295,3271,25111,1735,30120,5618,25423,1606,32645,6801,24640,1407,32848,6328,21702,1091,29121,4439,20336,1134,25907,1674,11353,1034,14065,225,4189,749,5162,30115,157416,10275,197805,1505,26924,1602,30026,1596,23889,1773,27256,5080,49262,4176,58511,8592,50330,3731,62658,10557,49866,3195,63615,10005,43176,2346,55529,7467,39356,2244,49072,3210,21625,1877,26718,543,6828,1135,8506,48554,311253,22077,381884
LGA35250,6,39,4,46,0,44,4,46,3,47,12,63,0,51,6,65,3,59,16,71,4,40,4,44,0,10,5,21,0,8,0,14,0,0,0,0,18,301,55,373,0,50,6,55,0,40,7,41,5,65,16,84,3,80,10,90,0,47,5,54,7,31,3,43,4,9,0,15,0,13,3,10,0,6,0,6,16,337,52,406,6,95,11,105,0,78,10,86,10,116,26,145,3,130,22,155,4,103,22,128,8,74,10,96,5,25,9,36,0,23,6,24,0,0,0,0,34,642,106,778
LGA35300,26,530,94,647,17,572,100,693,53,1380,220,1649,82,1058,181,1323,92,921,149,1161,94,860,130,1085,29,416,57,501,18,191,25,243,3,39,9,50,418,5969,965,7354,28,459,71,562,16,579,72,677,101,1427,169,1698,153,1056,138,1341,126,877,112,1114,107,677,89,868,54,334,46,436,18,172,35,229,0,45,14,65,610,5620,758,6984,47,995,159,1202,36,1154,181,1371,156,2804,389,3348,238,2110,314,2663,219,1796,264,2277,199,1536,220,1955,89,745,104,939,39,365,65,473,5,85,26,114,1025,11594,1725,14341
LGA35600,6,75,19,101,0,79,14,95,10,206,38,249,16,134,22,172,17,174,24,219,35,257,47,346,20,192,36,252,6,71,18,92,3,35,8,44,117,1241,218,1575,4,66,12,81,3,88,22,108,24,216,39,283,31,177,20,231,54,181,37,273,62,226,54,338,42,140,18,193,8,93,9,116,0,50,11,71,223,1251,227,1693,14,144,29,188,6,165,33,203,30,431,78,534,38,312,48,400,74,361,66,496,98,484,97,679,67,337,50,451,11,169,28,209,6,90,16,111,339,2485,441,3275
LGA35670,0,23,25,45,0,23,16,36,4,28,17,54,0,41,25,66,3,33,14,44,0,27,14,40,0,15,9,22,0,0,0,0,0,0,0,0,12,189,114,310,5,23,12,44,0,29,6,39,0,32,30,65,4,34,15,52,8,31,24,62,3,27,11,44,7,5,10,24,0,5,0,8,0,0,0,0,33,187,108,322,5,53,30,91,0,46,22,70,4,66,50,118,6,74,36,114,9,61,39,104,4,52,29,86,3,23,17,40,0,8,0,7,0,0,0,0,39,380,218,631
LGA35740,78,1412,108,1593,57,900,76,1029,118,1724,205,2044,241,2298,215,2761,438,3121,293,3852,555,3387,247,4181,470,3714,232,4412,272,2071,172,2514,54,492,94,646,2287,19108,1631,23027,57,1317,74,1446,45,789,63,902,189,1717,171,2076,417,2587,220,3228,773,3278,256,4307,955,3717,232,4905,703,3664,202,4571,297,1987,233,2513,40,725,203,969,3503,19769,1651,24920,139,2724,178,3039,105,1690,139,1939,313,3432,374,4121,664,4879,441,5983,1219,6398,544,8163,1510,7106,477,9091,1173,7369,437,8980,571,4057,397,5032,101,1219,293,1611,5784,38879,3279,47949
LGA35760,18,208,37,265,17,163,27,210,24,370,72,467,47,388,66,500,84,455,80,618,101,628,82,807,78,618,89,789,55,374,58,486,7,103,16,126,432,3305,531,4273,17,202,44,261,12,186,38,247,50,375,76,502,95,341,51,481,144,466,76,684,157,496,73,725,119,535,64,718,58,313,57,428,8,127,23,163,659,3038,507,4203,32,413,84,523,33,359,65,458,76,744,148,965,144,728,115,981,230,914,157,1305,256,1121,151,1533,197,1150,158,1510,106,688,119,915,22,225,38,291,1095,6341,1037,8475
LGA35780,5,78,21,115,7,89,12,110,15,143,23,187,9,106,25,139,6,96,19,120,5,87,19,112,5,40,14,59,0,9,4,12,0,0,0,0,64,655,137,854,7,87,17,113,15,104,23,133,24,187,28,238,18,115,19,154,13,102,21,142,13,85,23,124,3,34,4,44,0,8,0,9,0,0,0,4,96,724,134,954,18,170,44,227,15,188,33,245,44,333,49,422,34,219,43,294,19,200,38,258,20,169,35,232,6,78,20,102,4,18,4,23,0,3,0,3,157,1379,273,1814
LGA35790,3,65,10,84,6,68,3,83,9,120,14,151,9,78,5,99,20,96,14,133,12,86,8,107,0,38,9,45,0,5,0,9,0,0,0,0,68,561,67,698,4,64,3,73,7,78,5,100,20,127,21,173,21,100,7,130,15,87,15,117,10,81,3,101,8,38,3,47,0,11,0,10,0,0,0,0,87,588,67,747,9,131,16,158,16,147,14,176,33,246,35,318,29,185,13,226,35,186,29,243,21,165,15,203,8,75,8,91,0,17,0,19,0,0,0,0,161,1148,135,1444
LGA35800,0,24,5,30,0,33,0,37,8,76,6,93,11,72,8,89,14,89,7,110,16,100,9,122,9,87,11,102,3,52,6,64,0,12,0,14,54,548,55,653,6,31,0,36,0,29,3,35,10,89,5,104,7,62,0,69,12,85,4,108,19,113,14,145,14,64,16,97,7,38,3,43,3,20,0,24,80,532,60,666,3,55,6,70,4,67,3,72,13,166,12,196,13,134,12,160,24,176,12,214,35,214,25,270,31,148,24,197,12,85,9,110,3,33,4,33,129,1080,110,1321
LGA36070,7,19,5,24,0,14,12,24,4,21,9,33,10,28,5,38,17,32,6,56,4,20,3,30,6,14,0,13,0,4,0,9,0,0,0,0,38,148,42,232,9,11,8,21,4,11,3,21,7,26,12,47,21,34,3,58,6,26,8,49,8,18,3,28,4,8,5,14,0,3,0,4,0,0,0,0,58,148,38,239,13,25,9,50,6,24,10,39,15,46,19,81,29,58,18,98,24,60,11,104,5,41,8,59,5,18,3,32,0,6,4,9,0,0,0,0,97,291,81,471
LGA36150,0,13,0,13,0,22,0,22,3,40,3,41,0,34,7,38,3,38,8,52,6,60,3,64,4,31,3,35,0,15,0,15,0,0,0,6,17,243,20,280,0,12,0,12,0,13,0,13,3,56,7,60,5,23,0,36,5,38,3,55,3,48,0,59,4,26,6,28,0,7,0,9,0,4,0,8,22,232,20,277,0,20,0,24,0,31,0,31,3,92,8,103,8,59,3,70,15,85,11,105,13,108,8,125,8,59,0,64,5,21,6,28,0,8,0,13,47,476,35,559
LGA36250,234,4855,189,5284,228,3961,199,4389,491,6928,379,7799,893,8036,400,9328,1217,8642,472,10332,1537,8451,431,10419,1184,7486,416,9086,584,4007,336,4929,146,1078,253,1478,6512,53443,3084,63039,216,4413,197,4822,245,3387,170,3793,835,7101,355,8289,1695,8135,389,10219,2266,8783,395,11445,2555,8494,387,11433,1688,7866,407,9969,671,4412,439,5521,84,1693,547,2316,10249,54278,3285,67810,450,9266,388,10104,470,7349,370,8185,1328,14026,732,16086,2585,16173,788,19550,3484,17422,872,21779,4087,16944,825,21854,2874,15358,822,19053,1253,8417,776,10448,231,2766,794,3799,16756,107723,6368,130844
LGA36300,0,5,9,16,0,23,3,26,0,42,16,55,3,33,6,42,0,40,7,47,9,42,9,58,5,27,7,42,0,13,7,22,0,0,0,0,15,227,68,316,0,5,0,11,0,20,0,19,3,51,10,67,0,28,7,39,8,24,11,38,14,38,5,57,0,24,8,30,0,13,0,15,0,0,3,5,33,206,48,287,0,12,10,21,0,37,5,43,10,95,29,126,9,66,12,83,8,61,16,85,18,85,16,117,5,52,18,75,0,25,14,34,0,0,4,6,50,435,115,604
LGA36370,136,2405,249,2787,116,2212,265,2591,332,4510,616,5463,466,4069,627,5166,561,3644,544,4754,689,3724,437,4852,435,3041,294,3774,232,1525,197,1953,72,510,121,701,3038,25647,3350,32031,135,2212,226,2575,158,2237,227,2620,585,4654,438,5680,908,3926,394,5233,993,3640,331,4962,1123,3597,290,5007,604,2877,255,3737,270,1882,247,2399,48,836,196,1079,4839,25856,2601,33290,269,4613,472,5360,272,4447,487,5207,924,9165,1055,11142,1379,8003,1018,10406,1552,7284,874,9715,1812,7317,730,9863,1038,5918,546,7504,508,3410,446,4352,122,1345,310,1776,7874,51502,5945,65325
LGA36510,52,1125,137,1325,51,760,76,885,130,1527,228,1893,244,1861,272,2379,397,2293,273,2962,446,2460,225,3133,352,2342,183,2881,168,1216,147,1526,47,297,69,414,1895,13878,1613,17389,76,1109,117,1296,74,697,58,831,233,1567,175,1974,478,1933,184,2589,648,2295,219,3158,729,2367,191,3291,507,2161,173,2844,183,1169,154,1503,30,433,97,553,2950,13734,1363,18047,131,2233,251,2617,124,1459,134,1714,367,3096,401,3864,722,3789,456,4968,1044,4584,491,6120,1178,4828,423,6429,861,4510,358,5718,350,2384,293,3029,74,729,167,971,4849,27610,2972,35432
LGA36580,47,623,80,758,48,471,54,573,86,1001,109,1194,174,1151,130,1452,218,1285,146,1652,247,1477,138,1869,225,1434,123,1782,87,693,87,866,13,111,23,150,1140,8247,905,10290,59,618,70,750,31,406,35,474,180,983,84,1247,269,1071,114,1450,375,1252,139,1769,445,1339,112,1896,292,1205,107,1601,77,602,100,772,7,160,33,201,1736,7637,795,10169,107,1237,154,1507,76,879,92,1047,268,1982,192,2442,441,2217,240,2897,595,2539,285,3418,691,2824,257,3767,520,2638,229,3387,165,1295,185,1639,18,271,62,351,2881,15883,1696,20459
LGA36630,62,782,124,973,62,619,82,763,118,1278,177,1571,195,1154,157,1501,287,1458,201,1944,340,1799,243,2381,353,1984,261,2600,163,1118,155,1436,25,277,38,347,1604,10481,1435,13527,48,726,106,877,66,617,78,763,216,1242,169,1617,357,1116,156,1633,475,1426,191,2097,559,1747,225,2533,407,1891,261,2556,162,1005,128,1302,25,371,73,468,2320,10142,1381,13850,108,1513,226,1851,132,1239,162,1534,333,2513,341,3187,551,2275,312,3137,759,2885,392,4038,905,3542,463,4915,758,3873,521,5156,333,2127,278,2732,58,654,107,820,3925,20622,2819,27370
LGA36660,57,877,104,1037,60,732,75,873,103,1428,175,1709,194,1319,125,1639,315,1604,195,2110,418,1963,208,2587,326,2180,231,2738,167,1185,158,1514,44,314,58,417,1693,11603,1324,14622,64,863,92,1022,57,607,66,731,192,1414,149,1755,335,1366,153,1852,536,1639,189,2367,604,2019,198,2827,432,2086,221,2741,171,1222,162,1555,28,484,70,591,2431,11710,1295,15434,120,1740,196,2051,121,1341,142,1603,300,2839,322,3462,532,2681,278,3492,849,3248,381,4476,1030,3982,405,5415,755,4274,451,5478,341,2408,324,3068,78,799,125,1004,4120,23313,2626,30056
LGA36720,416,9182,570,10171,372,7479,585,8439,942,15715,1364,18020,1660,16962,1445,20069,2563,17880,1437,21881,2732,17111,1137,20973,2244,16175,1017,19436,1309,9288,763,11364,382,2891,463,3728,12621,112676,8786,134079,428,8914,565,9912,474,7831,553,8865,1616,16911,1262,19786,3247,17857,1210,22315,4503,18446,1145,24093,5199,17912,1106,24214,3469,17126,1055,21646,1498,10352,960,12804,273,4251,806,5333,20710,119587,8664,148966,847,18096,1138,20081,850,15315,1140,17308,2561,32626,2625,37804,4905,34818,2662,42382,7069,36326,2583,45977,7926,35015,2242,45184,5712,33297,2069,41086,2805,19644,1724,24171,658,7138,1268,9058,33328,232271,17449,283049
LGA36820,25,638,132,791,22,395,63,480,69,913,150,1135,139,905,126,1166,215,1176,209,1597,281,1506,198,1992,229,1625,197,2057,124,850,124,1097,22,223,53,306,1141,8225,1260,10626,36,590,103,738,31,349,62,444,127,920,163,1203,244,1012,149,1409,350,1244,170,1767,436,1530,176,2142,329,1482,195,2006,128,806,126,1052,17,288,99,405,1698,8222,1238,11167,67,1230,237,1533,61,740,129,926,195,1830,313,2335,383,1914,279,2576,567,2419,374,3369,718,3035,376,4132,559,3111,390,4063,248,1648,247,2153,43,514,155,715,2844,16449,2502,21794
LGA36910,285,5161,384,5833,257,4630,374,5261,632,9176,797,10612,989,8127,627,9741,1331,7938,685,9957,1417,7738,631,9786,1091,6971,514,8581,646,4135,370,5149,173,1283,196,1657,6827,55168,4574,66567,312,4931,331,5578,326,4538,369,5236,1129,9461,647,11235,1786,8241,581,10610,2290,8128,524,10937,2514,7709,560,10783,1588,7409,520,9517,752,4814,545,6110,105,2272,346,2725,10809,57507,4419,72733,595,10093,719,11405,582,9170,741,10493,1765,18640,1440,21846,2776,16376,1208,20352,3621,16067,1205,20894,3938,15447,1186,20570,2675,14389,1031,18096,1405,8946,911,11264,280,3559,545,4381,17635,112672,8990,139300
LGA36950,12,106,20,137,7,109,14,134,20,209,23,249,13,166,24,202,16,152,25,196,9,153,19,172,7,77,16,96,0,21,6,30,0,4,0,3,88,1004,137,1224,7,106,22,136,12,101,15,122,25,228,17,270,30,209,17,259,32,151,23,204,20,147,23,180,5,75,7,87,0,28,3,28,0,0,0,9,132,1044,125,1294,18,214,44,275,17,209,25,254,48,434,36,518,47,370,40,459,43,306,48,402,28,297,34,358,16,149,20,187,0,46,11,62,4,8,0,10,219,2041,254,2523
LGA36960,11,131,12,151,9,119,9,137,34,238,17,289,28,213,19,257,25,165,28,219,14,145,17,180,5,75,9,98,0,23,3,29,0,9,0,6,135,1115,115,1362,14,96,10,121,19,134,6,160,66,269,16,354,43,199,20,263,30,150,16,195,28,131,16,184,8,88,8,106,0,37,3,39,0,9,0,9,211,1110,105,1430,25,226,24,273,25,254,14,288,96,506,41,644,77,412,39,525,57,313,47,417,42,278,35,360,21,169,17,205,4,57,3,65,0,14,0,9,346,2227,217,2801
LGA37010,301,5500,579,6376,315,6356,1269,7942,787,11478,1868,14132,1111,9612,1517,12244,1364,9539,1264,12163,1385,8756,942,11083,991,6678,588,8261,498,3084,312,3889,86,757,126,964,6839,61760,8455,77056,328,5663,490,6486,413,6045,594,7058,1229,11306,1235,13764,2001,9959,995,12952,2290,9488,872,12649,2355,8441,640,11431,1394,6459,480,8336,540,3501,340,4377,65,1379,233,1683,10623,62244,5881,78748,628,11166,1070,12858,729,12403,1865,15003,2014,22787,3099,27901,3110,19574,2516,25201,3654,19025,2134,24814,3741,17195,1580,22520,2384,13143,1066,16591,1035,6582,652,8268,153,2132,360,2647,17458,124006,14332,155798
LGA37300,5,106,20,126,3,122,27,152,15,311,76,406,10,260,43,310,23,243,39,303,17,165,35,211,9,37,9,51,0,14,6,15,0,4,0,5,81,1253,251,1589,5,93,16,114,3,129,28,158,25,319,42,381,25,255,43,320,16,218,27,265,14,120,18,153,6,33,4,38,0,12,4,15,0,6,0,6,96,1179,184,1460,4,199,37,240,9,249,56,312,44,633,122,797,38,514,84,636,38,460,69,572,25,285,48,364,10,68,12,91,0,26,11,31,0,6,0,10,176,2434,433,3047
LGA37310,45,923,131,1094,39,792,156,985,128,1744,324,2196,196,1483,262,1939,240,1675,240,2151,258,1670,218,2154,173,1448,175,1788,74,703,104,882,27,178,40,238,1176,10607,1650,13431,58,765,127,951,58,773,94,929,203,1751,259,2210,342,1505,179,2023,407,1560,187,2155,436,1436,151,2022,236,1170,138,1548,95,734,118,944,19,302,62,383,1857,9995,1322,13173,102,1684,255,2045,96,1565,255,1918,331,3490,581,4404,535,2985,442,3963,646,3232,426,4304,695,3112,372,4175,410,2614,311,3338,171,1436,220,1827,46,475,106,625,3033,20604,2967,26596
LGA37340,42,837,108,984,27,838,168,1029,95,2124,502,2715,177,1885,383,2440,229,1971,428,2635,237,2094,352,2685,205,1685,247,2129,83,761,121,966,15,165,22,201,1107,12361,2317,15784,31,800,105,930,33,876,150,1061,153,2230,359,2739,289,1819,251,2362,398,1795,263,2453,373,1837,268,2486,280,1389,170,1838,79,645,101,820,17,257,39,305,1657,11640,1694,14994,74,1630,210,1917,62,1714,311,2087,249,4356,854,5457,467,3703,638,4803,626,3763,689,5081,619,3934,620,5170,484,3075,410,3967,158,1410,219,1789,28,416,60,503,2764,24002,4010,30777
LGA37400,0,21,8,25,0,12,6,20,6,40,13,57,0,53,7,64,7,51,12,65,0,81,10,88,4,50,25,82,0,33,13,47,0,8,0,9,17,351,88,454,3,7,4,16,0,26,8,35,4,52,9,64,8,59,13,75,5,69,15,91,18,60,14,90,4,41,14,58,7,28,14,38,0,9,0,9,47,349,79,474,6,27,6,39,0,42,9,53,10,90,21,122,9,107,22,143,11,120,19,157,18,139,23,177,12,95,32,146,5,54,22,87,0,17,0,19,70,700,169,936
LGA37550,0,43,6,46,0,25,0,28,5,62,4,63,3,39,5,42,8,39,0,47,3,34,0,30,0,14,4,19,0,0,0,0,0,0,0,0,17,244,19,284,3,40,5,57,3,39,0,45,16,75,13,104,8,47,4,55,14,44,5,59,13,25,0,33,3,19,0,21,0,10,0,10,0,0,0,0,51,293,24,379,5,84,14,103,8,62,0,71,20,133,18,172,8,91,5,98,17,79,7,108,13,56,0,69,3,36,4,36,0,8,0,8,0,0,0,0,69,541,46,663
LGA37570,0,7,3,11,0,7,0,5,0,18,0,23,0,13,4,17,3,11,0,19,0,10,0,16,0,6,0,5,0,0,0,3,0,0,0,0,10,78,11,95,0,4,0,4,0,12,0,8,3,26,3,34,0,16,0,18,0,14,5,17,3,13,3,17,0,4,0,5,0,5,0,5,0,0,0,0,7,87,10,104,0,13,3,13,0,12,0,14,4,49,4,53,0,22,3,29,7,28,5,35,4,24,0,36,0,8,0,10,0,3,0,8,0,0,0,0,18,167,20,199
LGA37600,20,106,4,128,19,95,4,116,28,146,14,189,16,109,8,132,25,95,5,119,15,74,3,94,8,31,0,41,0,9,4,12,0,0,0,0,130,664,37,840,29,99,9,137,18,76,0,96,50,151,9,207,32,108,3,148,39,92,4,132,29,86,4,120,10,41,3,53,3,21,0,25,5,0,0,0,208,670,40,916,47,205,15,267,34,166,7,212,78,292,27,393,50,215,12,277,62,184,9,253,44,163,10,213,19,71,8,92,3,31,4,31,5,0,0,5,344,1331,85,1757
LGA39499,9,193,70,272,12,271,153,444,58,839,408,1301,66,652,467,1194,59,575,403,1042,102,879,313,1297,96,952,214,1253,29,207,42,283,0,16,8,23,445,4586,2077,7108,15,214,61,291,19,339,127,493,79,896,369,1345,89,527,270,885,112,556,222,887,156,827,195,1170,83,674,113,870,9,131,24,160,0,22,3,25,566,4176,1386,6127,24,406,133,566,37,615,278,934,138,1732,777,2649,159,1179,737,2077,177,1136,623,1929,259,1700,503,2468,181,1623,324,2124,37,336,70,444,0,31,16,44,1008,8758,3464,13234
LGA39799,0,0,0,0,0,4,9,4,0,8,30,37,0,14,45,55,0,12,31,42,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,37,108,149,0,0,0,0,0,0,4,9,0,3,13,13,0,0,5,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,28,0,0,0,0,0,3,14,16,0,11,34,49,0,13,52,64,0,12,32,45,0,0,8,5,0,0,0,3,0,0,0,0,0,0,0,0,0,46,135,183
LGA40070,15,519,52,589,60,2009,177,2239,87,2787,343,3217,108,1389,220,1720,154,973,147,1276,174,913,95,1182,123,896,91,1105,60,430,45,538,12,122,20,150,784,10033,1195,12014,23,708,86,815,59,2071,180,2308,112,2562,207,2877,145,1202,95,1442,167,771,66,1004,267,763,63,1099,197,859,79,1133,85,473,41,606,9,209,53,272,1069,9622,872,11556,41,1226,139,1410,114,4080,352,4551,192,5347,552,6094,254,2585,317,3161,317,1746,215,2282,440,1682,158,2284,317,1753,167,2239,148,905,90,1140,24,330,73,425,1855,19655,2064,23578
LGA40120,56,1264,73,1398,47,947,85,1077,118,1499,95,1707,240,1975,93,2300,442,2416,142,2998,548,2365,145,3053,361,2045,101,2510,153,985,67,1208,34,250,32,318,2007,13737,828,16567,58,1205,80,1340,70,876,31,973,177,1508,75,1756,390,2076,84,2556,727,2283,117,3124,837,2074,120,3032,528,1915,101,2543,159,953,72,1181,26,377,45,447,2965,13272,731,16959,115,2469,153,2743,111,1823,115,2051,289,3005,164,3461,631,4050,174,4858,1170,4700,253,6128,1382,4436,266,6085,894,3960,204,5053,314,1937,141,2391,61,630,76,768,4971,27008,1553,33530
LGA40150,15,288,37,344,19,234,25,280,35,549,45,627,75,492,50,620,78,605,59,742,112,634,51,795,59,386,35,476,27,169,19,213,5,32,11,47,423,3379,326,4131,17,248,24,296,18,211,16,246,81,511,42,627,124,424,33,582,148,528,51,729,160,490,43,690,88,325,27,434,18,158,21,200,3,48,5,53,661,2944,259,3860,34,542,61,637,41,441,42,521,110,1059,83,1253,202,916,85,1203,228,1131,112,1474,275,1121,90,1488,144,709,55,912,46,324,40,405,9,80,11,98,1085,6320,585,7993
